ID,SCHL,SCHG,POVPIP,WKL,FOD1P
871,23,0,471,1,2602
872,13,0,198,3,0
873,21,0,501,1,2102
874,21,0,501,2,6203
875,19,0,400,1,0
876,22,0,400,1,2601
877,16,15,400,1,0
878,5,5,400,0,0
879,21,15,250,1,3600
880,21,15,156,1,1901
881,21,0,501,1,5501
882,22,0,501,1,5501
883,22,0,501,1,5506
884,23,0,501,1,6200
885,21,0,261,2,2399
886,21,0,261,1,4801
887,1,0,261,0,0
888,21,0,501,1,2310
889,21,0,501,1,3700
890,1,0,501,0,0
891,23,0,501,3,3600
892,21,0,501,1,3301
893,23,0,501,1,3601
894,22,0,163,1,2410
895,16,0,272,3,0
896,18,0,272,1,0
897,16,0,111,3,0
898,13,0,111,1,0
899,7,7,111,0,0
900,5,5,111,0,0
901,4,4,111,0,0
902,2,1,111,0,0
903,1,0,111,0,0
904,23,0,501,1,5200
905,23,0,463,1,2602
906,21,0,501,1,6402
907,22,0,501,1,5506
908,18,14,501,1,0
909,16,0,501,1,0
910,16,0,65,3,0
911,17,0,389,1,0
912,24,0,501,1,2406
913,22,0,501,1,6107
914,21,0,109,1,2403
915,21,0,501,1,2102
916,22,16,0,3,2402
917,22,16,501,1,2408
918,23,0,501,1,5506
919,21,0,501,1,3301
920,15,0,123,2,0
921,16,0,123,1,0
922,22,0,501,1,5506
923,24,0,501,1,5507
924,22,0,455,1,5506
925,21,0,501,1,6402
926,19,0,501,1,0
927,23,0,501,1,2602
928,23,0,501,1,5500
929,22,0,501,1,5501
930,16,0,0,2,0
931,19,0,62,3,0
932,21,0,392,1,3301
933,24,0,501,1,5003
934,24,0,501,1,3301
935,2,2,501,0,0
936,24,0,501,1,5501
937,24,0,501,1,5501
938,2,1,501,0,0
939,0,0,501,0,0
940,21,0,501,1,3401
941,23,0,501,1,5506
942,21,0,222,1,2399
943,20,0,222,1,0
944,14,13,222,3,0
945,10,10,222,0,0
946,7,6,222,0,0
947,16,0,282,1,0
948,19,0,282,3,0
949,12,12,282,3,0
950,16,0,39,1,0
951,22,0,501,1,5506
952,23,0,501,1,1902
953,21,0,501,2,6200
954,21,0,501,1,5501
955,19,0,14,1,0
956,22,0,501,1,5505
957,14,13,501,1,0
958,23,16,501,1,6203
959,16,0,478,3,0
960,1,0,478,1,0
961,22,0,501,1,5301
962,24,0,206,1,2414
963,21,0,206,3,2102
964,3,1,206,0,0
965,21,0,501,1,6201
966,21,0,501,1,5200
967,21,0,501,1,2400
968,0,0,501,0,0
969,21,0,501,1,1902
970,21,0,501,1,5505
971,24,0,501,3,6201
972,22,0,419,1,3600
973,19,15,343,2,0
974,20,0,343,1,0
975,0,0,343,0,0
976,22,16,472,1,4801
977,22,0,472,1,4001
978,19,0,501,1,0
979,22,0,501,1,5505
980,22,0,501,3,3600
981,23,0,501,1,1902
982,22,0,501,1,5505
983,17,0,23,1,0
984,22,0,501,1,2102
985,22,0,501,1,2102
986,22,0,501,1,5501
987,23,0,501,1,5507
988,21,0,466,1,5200
989,21,0,419,1,5200
990,21,0,500,1,3301
991,16,0,50,2,0
992,16,0,50,1,0
993,8,7,50,0,0
994,23,0,501,1,5506
995,20,15,499,1,0
996,22,0,501,1,6212
997,22,0,48,1,2602
998,16,0,203,1,0
999,8,0,322,3,0
1000,15,0,48,3,0
1001,23,0,501,3,6107
1002,23,0,501,2,1401
1003,12,0,11,3,0
1004,3,3,11,0,0
1005,5,5,11,0,0
1006,2,2,11,0,0
1007,1,1,11,0,0
1008,1,0,11,0,0
1009,0,0,11,0,0
1010,23,0,501,1,6107
1011,21,0,501,1,6402
1012,17,0,14,3,0
1013,16,0,14,3,0
1014,16,0,14,1,0
1015,11,11,14,0,0
1016,9,9,14,0,0
1017,6,6,14,0,0
1018,23,0,501,1,5506
1019,16,0,210,1,0
1020,23,0,501,1,2602
1021,9,8,501,0,0
1022,20,15,125,1,0
1023,22,0,501,1,2412
1024,21,0,501,1,2601
1025,22,0,233,1,2602
1026,19,0,164,1,0
1027,19,0,164,2,0
1028,9,8,164,0,0
1029,21,0,204,1,5505
1030,23,0,501,1,6002
1031,16,15,473,3,0
1032,0,0,473,0,0
1033,20,15,473,1,0
1034,20,15,473,1,0
1035,17,0,70,3,0
1036,22,0,121,1,5200
1037,19,0,501,1,0
1038,17,0,501,1,0
1039,19,0,501,1,0
1040,23,0,501,1,5506
1041,22,0,501,1,6207
1042,22,0,501,1,1401
1043,9,8,501,0,0
1044,8,7,501,0,0
1045,18,0,374,3,0
1046,22,0,501,1,5505
1047,16,0,155,3,0
1048,16,0,155,1,0
1049,16,0,155,1,0
1050,16,0,140,3,0
1051,21,0,501,1,5506
1052,21,16,0,2,3301
1053,23,0,501,1,6402
1054,21,0,501,1,6005
1055,23,0,501,1,5501
1056,23,0,501,3,6201
1057,3,4,501,0,0
1058,2,2,501,0,0
1059,22,0,501,1,2408
1060,16,0,501,1,0
1061,17,0,217,2,0
1062,16,0,217,1,0
1063,17,0,217,1,0
1064,18,0,217,2,0
1065,14,13,217,2,0
1066,11,11,217,0,0
1067,16,0,10,3,0
1068,19,15,501,1,0
1069,22,0,501,1,5506
1070,18,0,95,3,0
1071,23,0,501,1,3301
1072,22,0,303,1,2499
1073,21,0,303,2,4101
1074,0,0,303,0,0
1075,0,0,303,0,0
1076,21,0,452,2,6203
1077,16,0,452,1,0
1078,21,16,501,1,5505
1079,22,0,501,1,5506
1080,23,0,501,1,6402
1081,21,0,501,1,5501
1082,18,0,196,1,0
1083,10,0,273,1,0
1084,16,0,0,3,0
1085,22,0,29,1,5200
1086,22,16,29,3,3601
1087,22,0,501,1,5501
1088,22,0,155,1,5402
1089,21,15,180,1,5200
1090,22,0,421,1,5003
1091,11,11,421,0,0
1092,21,15,273,1,1901
1093,21,16,273,1,1901
1094,22,0,501,1,5506
1095,21,0,501,3,2399
1096,22,0,501,1,6207
1097,22,0,501,1,2412
1098,19,0,501,2,0
1099,16,0,501,1,0
1100,19,0,501,1,0
1101,24,0,501,1,5007
1102,21,0,501,1,6207
1103,15,0,501,1,0
1104,21,0,501,1,4801
1105,21,0,501,1,5403
1106,19,0,501,1,0
1107,22,0,501,1,1903
1108,9,9,501,0,0
1109,17,0,36,1,0
1110,6,6,36,0,0
1111,1,1,36,0,0
1112,0,0,36,0,0
1113,0,0,36,0,0
1114,22,0,501,1,3301
