SCHL,SCHG,POVPIP,WKL,FOD1P
22,0,501,1,5505
20,15,137,1,0
20,15,137,2,0
1,0,0,3,0
16,0,0,3,0
16,15,0,2,0
24,0,501,1,6002
23,0,484,1,5503
24,0,501,1,1501
21,0,501,1,3700
11,10,501,0,0
24,0,501,1,6402
24,0,501,1,4801
21,0,501,3,3605
22,0,449,1,5505
16,0,235,3,0
17,0,235,1,0
17,0,235,3,0
21,0,443,1,5506
22,0,501,1,1401
22,0,501,1,2403
23,0,471,1,2602
13,0,198,3,0
21,0,501,1,2102
21,0,501,2,6203
19,0,400,1,0
22,0,400,1,2601
16,15,400,1,0
5,5,400,0,0
21,15,250,1,3600
21,15,156,1,1901
21,0,501,1,5501
22,0,501,1,5501
22,0,501,1,5506
23,0,501,1,6200
21,0,261,2,2399
21,0,261,1,4801
1,0,261,0,0
21,0,501,1,2310
21,0,501,1,3700
1,0,501,0,0
23,0,501,3,3600
21,0,501,1,3301
23,0,501,1,3601
22,0,163,1,2410
16,0,272,3,0
18,0,272,1,0
16,0,111,3,0
13,0,111,1,0
7,7,111,0,0
5,5,111,0,0
4,4,111,0,0
2,1,111,0,0
1,0,111,0,0
23,0,501,1,5200
23,0,463,1,2602
21,0,501,1,6402
22,0,501,1,5506
18,14,501,1,0
16,0,501,1,0
16,0,65,3,0
17,0,389,1,0
24,0,501,1,2406
22,0,501,1,6107
21,0,109,1,2403
21,0,501,1,2102
22,16,0,3,2402
22,16,501,1,2408
23,0,501,1,5506
21,0,501,1,3301
15,0,123,2,0
16,0,123,1,0
22,0,501,1,5506
24,0,501,1,5507
22,0,455,1,5506
21,0,501,1,6402
19,0,501,1,0
23,0,501,1,2602
23,0,501,1,5500
22,0,501,1,5501
16,0,0,2,0
19,0,62,3,0
21,0,392,1,3301
24,0,501,1,5003
24,0,501,1,3301
2,2,501,0,0
24,0,501,1,5501
24,0,501,1,5501
2,1,501,0,0
0,0,501,0,0
21,0,501,1,3401
23,0,501,1,5506
21,0,222,1,2399
20,0,222,1,0
14,13,222,3,0
10,10,222,0,0
7,6,222,0,0
16,0,282,1,0
19,0,282,3,0
12,12,282,3,0
16,0,39,1,0
22,0,501,1,5506
23,0,501,1,1902
21,0,501,2,6200
21,0,501,1,5501
19,0,14,1,0
22,0,501,1,5505
14,13,501,1,0
23,16,501,1,6203
16,0,478,3,0
1,0,478,1,0
22,0,501,1,5301
24,0,206,1,2414
21,0,206,3,2102
3,1,206,0,0
21,0,501,1,6201
21,0,501,1,5200
21,0,501,1,2400
0,0,501,0,0
21,0,501,1,1902
21,0,501,1,5505
24,0,501,3,6201
22,0,419,1,3600
19,15,343,2,0
20,0,343,1,0
0,0,343,0,0
22,16,472,1,4801
22,0,472,1,4001
19,0,501,1,0
22,0,501,1,5505
22,0,501,3,3600
23,0,501,1,1902
22,0,501,1,5505
17,0,23,1,0
22,0,501,1,2102
22,0,501,1,2102
22,0,501,1,5501
23,0,501,1,5507
21,0,466,1,5200
21,0,419,1,5200
21,0,500,1,3301
16,0,50,2,0
16,0,50,1,0
8,7,50,0,0
23,0,501,1,5506
20,15,499,1,0
22,0,501,1,6212
22,0,48,1,2602
16,0,203,1,0
8,0,322,3,0
15,0,48,3,0
23,0,501,3,6107
23,0,501,2,1401
12,0,11,3,0
3,3,11,0,0
5,5,11,0,0
2,2,11,0,0
1,1,11,0,0
1,0,11,0,0
0,0,11,0,0
23,0,501,1,6107
21,0,501,1,6402
17,0,14,3,0
16,0,14,3,0
16,0,14,1,0
11,11,14,0,0
9,9,14,0,0
6,6,14,0,0
23,0,501,1,5506
16,0,210,1,0
23,0,501,1,2602
9,8,501,0,0
20,15,125,1,0
22,0,501,1,2412
21,0,501,1,2601
22,0,233,1,2602
19,0,164,1,0
19,0,164,2,0
9,8,164,0,0
21,0,204,1,5505
23,0,501,1,6002
16,15,473,3,0
0,0,473,0,0
20,15,473,1,0
20,15,473,1,0
17,0,70,3,0
22,0,121,1,5200
19,0,501,1,0
17,0,501,1,0
19,0,501,1,0
23,0,501,1,5506
22,0,501,1,6207
22,0,501,1,1401
9,8,501,0,0
8,7,501,0,0
18,0,374,3,0
22,0,501,1,5505
16,0,155,3,0
16,0,155,1,0
16,0,155,1,0
16,0,140,3,0
21,0,501,1,5506
21,16,0,2,3301
23,0,501,1,6402
21,0,501,1,6005
23,0,501,1,5501
23,0,501,3,6201
3,4,501,0,0
2,2,501,0,0
22,0,501,1,2408
16,0,501,1,0
17,0,217,2,0
16,0,217,1,0
17,0,217,1,0
18,0,217,2,0
14,13,217,2,0
11,11,217,0,0
16,0,10,3,0
19,15,501,1,0
22,0,501,1,5506
18,0,95,3,0
23,0,501,1,3301
22,0,303,1,2499
21,0,303,2,4101
0,0,303,0,0
0,0,303,0,0
21,0,452,2,6203
16,0,452,1,0
21,16,501,1,5505
22,0,501,1,5506
23,0,501,1,6402
21,0,501,1,5501
18,0,196,1,0
10,0,273,1,0
16,0,0,3,0
22,0,29,1,5200
22,16,29,3,3601
22,0,501,1,5501
22,0,155,1,5402
21,15,180,1,5200
22,0,421,1,5003
11,11,421,0,0
21,15,273,1,1901
21,16,273,1,1901
22,0,501,1,5506
21,0,501,3,2399
22,0,501,1,6207
22,0,501,1,2412
19,0,501,2,0
16,0,501,1,0
19,0,501,1,0
24,0,501,1,5007
21,0,501,1,6207
15,0,501,1,0
21,0,501,1,4801
21,0,501,1,5403
19,0,501,1,0
22,0,501,1,1903
9,9,501,0,0
17,0,36,1,0
6,6,36,0,0
1,1,36,0,0
0,0,36,0,0
0,0,36,0,0
22,0,501,1,3301
22,16,501,1,6402
21,0,235,1,1901
21,15,0,2,5301
21,0,235,1,2001
19,0,34,2,0
19,0,218,1,0
21,0,100,3,5200
22,0,501,1,3301
22,0,501,1,3301
23,16,501,1,1902
16,0,445,2,0
16,0,445,3,0
21,0,445,1,6200
22,16,501,1,6402
21,0,274,1,3601
21,0,501,1,2602
22,0,501,1,5506
22,0,501,1,5501
10,10,501,0,0
8,8,501,0,0
21,16,0,3,1904
21,0,425,1,5506
21,0,38,1,3301
22,0,501,1,2408
21,0,501,1,6103
16,0,142,2,0
21,0,501,1,6209
22,0,501,1,5506
22,0,501,1,2304
23,0,163,1,6203
22,0,163,1,5502
24,0,501,1,5007
21,0,309,1,1301
18,0,65,3,0
22,0,501,1,6107
22,0,501,1,1401
2,1,501,0,0
0,0,501,0,0
0,0,501,0,0
19,15,360,1,0
22,0,501,1,2406
22,0,501,1,2406
7,7,501,0,0
16,0,134,1,0
21,0,488,1,5506
21,0,501,1,6402
21,0,501,1,5506
21,0,501,1,6206
22,0,501,1,2602
16,0,211,1,0
19,0,21,3,0
16,0,61,3,0
22,0,501,1,3700
21,0,495,1,5501
22,0,501,1,4001
21,0,501,1,2314
16,14,501,3,0
13,12,501,3,0
9,8,501,0,0
21,0,390,1,3604
22,0,501,1,4007
21,0,390,1,1901
16,0,253,3,0
8,7,253,0,0
21,0,501,1,5500
21,0,313,3,5200
19,0,382,1,0
16,0,501,3,0
16,0,501,3,0
21,16,501,1,1501
21,0,501,1,2102
19,0,206,3,0
12,0,206,3,0
22,0,283,1,3301
1,1,283,0,0
0,0,283,0,0
18,0,485,1,0
21,0,449,1,2603
19,0,293,3,0
20,0,293,1,0
19,0,293,1,0
16,0,191,3,0
16,0,191,1,0
16,0,95,3,0
21,0,501,3,1401
21,0,501,2,2311
21,0,501,1,6200
21,0,501,1,6002
21,0,429,1,5501
21,0,501,1,5501
21,0,501,1,1301
21,0,501,2,6004
21,0,398,1,1501
21,0,492,1,1401
21,0,501,1,1501
22,0,367,1,5505
21,0,367,1,5506
21,0,195,2,3600
22,0,501,1,6200
21,0,501,1,5505
21,0,501,1,5505
0,0,501,0,0
23,0,375,1,3301
22,0,312,1,5007
19,15,501,1,0
18,15,179,1,0
16,0,207,1,0
21,16,23,2,3600
21,16,23,1,6106
21,16,7,1,5200
21,16,30,1,3601
21,0,501,1,1901
21,16,88,1,3702
21,0,501,1,3702
22,16,299,1,5200
21,0,501,3,6200
22,0,501,1,6207
22,0,501,1,5501
13,12,501,0,0
11,10,501,0,0
16,0,501,1,0
16,0,501,1,0
14,13,501,1,0
24,0,501,1,5505
22,16,501,2,5506
21,0,417,1,4801
21,0,347,1,6402
24,0,210,2,5506
22,0,501,1,5506
23,0,501,1,3600
24,16,501,1,6402
0,0,501,0,0
16,0,501,2,0
22,0,501,1,5301
24,0,501,1,5200
21,0,501,1,6203
21,0,501,1,6200
21,16,501,2,6402
21,0,501,1,2401
13,0,67,3,0
21,0,111,3,6201
21,0,501,1,6200
16,0,230,1,0
21,16,307,1,5506
21,16,230,1,6000
24,0,78,1,2102
21,0,388,1,1903
21,0,501,1,5505
22,0,501,1,6207
22,16,501,1,5506
21,0,501,1,2602
13,12,66,3,0
11,0,0,3,0
22,0,501,1,5506
21,0,501,1,6001
22,16,501,2,3401
22,0,501,1,2102
22,0,501,1,5506
22,0,501,1,5506
22,0,501,1,2499
14,0,71,3,0
23,0,501,1,5505
14,0,121,3,0
14,0,121,1,0
22,0,501,1,5506
19,0,311,1,0
18,0,0,3,0
14,0,163,1,0
19,0,163,1,0
7,6,163,0,0
5,4,163,0,0
2,2,163,0,0
22,0,356,1,6402
22,0,356,1,1301
5,4,356,0,0
3,2,356,0,0
19,0,310,3,0
22,0,501,1,6203
21,0,371,1,4001
24,16,60,1,5007
16,0,91,1,0
19,0,135,2,0
19,15,135,3,0
16,0,135,1,0
19,15,135,3,0
9,9,135,0,0
8,8,135,0,0
7,7,135,0,0
5,5,135,0,0
2,2,135,0,0
22,0,0,2,6099
18,0,501,3,0
16,0,117,1,0
16,0,101,1,0
22,16,0,2,5506
21,0,300,1,1901
22,0,501,1,6207
21,16,501,1,3301
21,16,501,1,6206
16,0,501,1,0
16,0,501,3,0
19,15,501,1,0
21,0,501,3,5003
20,0,501,3,0
19,0,501,1,0
21,0,501,1,6001
23,0,501,1,5501
1,1,501,0,0
0,0,501,0,0
24,0,501,1,1301
21,16,501,1,3600
21,0,400,1,1904
19,0,360,1,0
16,0,360,1,0
18,0,360,1,0
19,15,360,1,0
3,2,360,0,0
21,0,501,1,5506
10,10,501,0,0
22,16,501,1,5200
21,0,501,1,2102
22,0,501,1,5506
